qid,Len,Den,P31,P131,P625,#
,Alford Recycling Centre,,Q27106436,Q189912,,"""An edit from a CTC21 project"""
,Banchory Recycling Centre,"Banchory Recycling Centre, Banchory,Crow's Nest, Upper Lochton Road, AB31 4EQ",Q27106437,Q189913,@57.0640583/-2.5149168,"""An edit from a CTC21 project"""
,Ellon Recycling Centre,"Ellon Recycling Centre Ellon, Balmacassie Commercial Park, Balmacassie Brae, AB41 8BY",Q27106438,Q189914,@57.3698749/-2.0536933,"""An edit from a CTC21 project"""
,Fraserburgh Recycling Centre,"Fraserburgh Recycling Centre, Fraserburgh, Anderson Place, AB43 9SU",Q27106439,Q189915,@57.695071/-2.0223638,"""An edit from a CTC21 project"""
,Huntly Recycling Centre,"Huntly Recycling Centre, Huntly, Steven Road, AB54 8SX",Q27106440,Q189916,@57.4457725/-2.7974541,"""An edit from a CTC21 project"""
,Insch Recycling Centre,"Insch Recycling Centre, Insch, Market Street, AB52 6LA",Q27106441,Q189917,@57.3442931/-2.6120158,"""An edit from a CTC21 project"""
,Inverurie Recycling Centre,"Inverurie Recycling Centre, Inverurie, Souterford Road, AB51 0TP",Q27106442,Q189918,@57.2879649/-2.3686518,"""An edit from a CTC21 project"""
,Laurencekirk Recycling Centre,"Laurencekirk Recycling Centre, Laurencekirk, Market Road, AB30 1DG",Q27106443,Q189919,@56.8356865/-2.4683576,"""An edit from a CTC21 project"""
,Macduff Recycling Centre,"Macduff Recycling Centre, Macduff, Old Gamrie Road, AB44 1QD",Q27106444,Q189920,@57.6677238/-2.4810957,"""An edit from a CTC21 project"""
,Peterhead Recycling Centre,"Peterhead Recycling Centre, Peterhead, Damhead Road, Dales Industrial Estate, AB42 3JF ",Q27106445,Q189921,@57.4925024/-1.812573,"""An edit from a CTC21 project"""
,Portlethen Recycling Centre,"Portlethen Recycling Centre, Portlethen, Badentoy Drive, Badentoy Industrial Estate, AB12 4ZD",Q27106446,Q189922,@57.0726281/-2.1515605,"""An edit from a CTC21 project"""
,Portsoy Recycling Centre,"Portsoy Recycling Centre, Portsoy, Station Yard, AB45 2QX",Q27106447,Q189923,@57.6800314/-2.689818,"""An edit from a CTC21 project"""
,Stonehaven Recycling Centre,"Stonehaven Recycling Centre, Stonehaven, Redcloak, AB39 3SR",Q27106448,Q189924,@56.9741853/-2.2393608,"""An edit from a CTC21 project"""
,Turriff Recycling Centre,"Turriff Recycling Centre, Turriff, Markethill, AB53 4AZ",Q27106449,Q189925,@57.543124/-2.4538456,"""An edit from a CTC21 project"""
,Westhill Recycling Centre,"Westhill Recycling Centre, Westhill, Westdyke Avenue, AB32 6QX",Q27106450,Q189926,@57.1515648/-2.2947507,"""An edit from a CTC21 project"""